,country,hours
311,Colombia,637
312,Chile,2807.9
313,Chile,3077.1
314,Chile,1716.7
315,Chile,1714.8
316,Chile,3926.2
317,Ecuador,2238
318,Ecuador,1581.1
319,Falkland Islands,1651
320,French Guiana,1976
321,Paraguay,2803
322,Peru,3333.3
323,Peru,1230
324,Peru,1476.7
325,Uruguay,2481.4
326,Venezuela,2506.9
327,Venezuela,3284
328,Australia,"2,765.40"
329,Australia,"3,499.10"
330,Australia,"2,968.40"
331,Australia,"2,813.70"
332,Australia,"3,092.20"
333,Australia,"2,165.10"
334,Australia,"2,362.60"
335,Australia,"3,229.50"
336,Australia,"2,635.50"
337,Fiji,"1,922"
338,New Zealand,"2,003.10"
339,New Zealand,"2,070.20"
340,New Zealand,"2,058.70"
341,Papua New Guinea,"2,463"
342,Solomon Islands,"2,330"
