,age,country,gdp_for_year ($),population,salaries,sex,suicides/100k pop,suicides_no,year
7720,15-24 years,Lithuania,47850551149.0,242106,916.6,male,47.09,114,2008
7721,75+ years,Lithuania,47850551149.0,168662,916.6,female,21.34,36,2008
7722,55-74 years,Lithuania,47850551149.0,384300,916.6,female,15.61,60,2008
7723,35-54 years,Lithuania,47850551149.0,483453,916.6,female,13.44,65,2008
7724,15-24 years,Lithuania,47850551149.0,234198,916.6,female,7.26,17,2008
7725,25-34 years,Lithuania,47850551149.0,208792,916.6,female,7.18,15,2008
7726,5-14 years,Lithuania,47850551149.0,177345,916.6,male,1.13,2,2008
7727,5-14 years,Lithuania,47850551149.0,167804,916.6,female,0.0,0,2008
7882,75+ years,Luxembourg,13229247948.0,7700,2848.9,male,51.95,4,1990
7883,55-74 years,Luxembourg,13229247948.0,32400,2848.9,male,37.04,12,1990
7884,35-54 years,Luxembourg,13229247948.0,53800,2848.9,male,29.74,16,1990
7885,25-34 years,Luxembourg,13229247948.0,33200,2848.9,male,27.11,9,1990
7886,75+ years,Luxembourg,13229247948.0,15500,2848.9,female,25.81,4,1990
7887,15-24 years,Luxembourg,13229247948.0,25900,2848.9,male,23.17,6,1990
7888,35-54 years,Luxembourg,13229247948.0,51100,2848.9,female,19.57,10,1990
7889,55-74 years,Luxembourg,13229247948.0,39200,2848.9,female,12.76,5,1990
7890,25-34 years,Luxembourg,13229247948.0,32300,2848.9,female,6.19,2,1990
7891,15-24 years,Luxembourg,13229247948.0,24700,2848.9,female,0.0,0,1990
7892,5-14 years,Luxembourg,13229247948.0,21000,2848.9,female,0.0,0,1990
7893,5-14 years,Luxembourg,13229247948.0,22000,2848.9,male,0.0,0,1990
7894,75+ years,Luxembourg,14321878795.0,7700,2956.0,male,103.9,8,1991
7895,55-74 years,Luxembourg,14321878795.0,32900,2956.0,male,48.63,16,1991
7896,35-54 years,Luxembourg,14321878795.0,55000,2956.0,male,30.91,17,1991
7897,25-34 years,Luxembourg,14321878795.0,34000,2956.0,male,26.47,9,1991
7898,35-54 years,Luxembourg,14321878795.0,52100,2956.0,female,23.03,12,1991
7899,55-74 years,Luxembourg,14321878795.0,39500,2956.0,female,22.78,9,1991
7900,15-24 years,Luxembourg,14321878795.0,25600,2956.0,male,15.63,4,1991
7901,75+ years,Luxembourg,14321878795.0,15600,2956.0,female,6.41,1,1991
7902,25-34 years,Luxembourg,14321878795.0,32600,2956.0,female,3.07,1,1991
7903,15-24 years,Luxembourg,14321878795.0,24300,2956.0,female,0.0,0,1991
7904,5-14 years,Luxembourg,14321878795.0,21200,2956.0,female,0.0,0,1991
7905,5-14 years,Luxembourg,14321878795.0,22400,2956.0,male,0.0,0,1991
7906,75+ years,Luxembourg,16065740778.0,7600,3239.1,male,78.95,6,1992
7907,75+ years,Luxembourg,16065740778.0,15500,3239.1,female,25.81,4,1992
7908,55-74 years,Luxembourg,16065740778.0,40100,3239.1,female,24.94,10,1992
7909,55-74 years,Luxembourg,16065740778.0,33400,3239.1,male,20.96,7,1992
7910,35-54 years,Luxembourg,16065740778.0,53200,3239.1,female,18.8,10,1992
7911,35-54 years,Luxembourg,16065740778.0,56100,3239.1,male,16.04,9,1992
7912,25-34 years,Luxembourg,16065740778.0,34600,3239.1,male,14.45,5,1992
7913,25-34 years,Luxembourg,16065740778.0,33100,3239.1,female,12.08,4,1992
7914,15-24 years,Luxembourg,16065740778.0,23800,3239.1,female,8.4,2,1992
7915,15-24 years,Luxembourg,16065740778.0,25200,3239.1,male,7.94,2,1992
7916,5-14 years,Luxembourg,16065740778.0,21800,3239.1,female,0.0,0,1992
7917,5-14 years,Luxembourg,16065740778.0,22900,3239.1,male,0.0,0,1992
7918,75+ years,Luxembourg,16486900187.0,7500,3114.5,male,53.33,4,1993
7919,15-24 years,Luxembourg,16486900187.0,24900,3114.5,male,40.16,10,1993
7920,35-54 years,Luxembourg,16486900187.0,57300,3114.5,male,38.39,22,1993
7921,55-74 years,Luxembourg,16486900187.0,40800,3114.5,female,19.61,8,1993
7922,55-74 years,Luxembourg,16486900187.0,34200,3114.5,male,17.54,6,1993
7923,25-34 years,Luxembourg,16486900187.0,34900,3114.5,male,17.19,6,1993
7924,35-54 years,Luxembourg,16486900187.0,54200,3114.5,female,9.23,5,1993
7925,75+ years,Luxembourg,16486900187.0,15300,3114.5,female,6.54,1,1993
7926,25-34 years,Luxembourg,16486900187.0,33500,3114.5,female,5.97,2,1993
7927,15-24 years,Luxembourg,16486900187.0,23700,3114.5,female,0.0,0,1993
7928,5-14 years,Luxembourg,16486900187.0,22300,3114.5,female,0.0,0,1993
7929,5-14 years,Luxembourg,16486900187.0,23400,3114.5,male,0.0,0,1993
7930,75+ years,Luxembourg,18325791415.0,7500,3295.8,male,106.67,8,1994
7931,55-74 years,Luxembourg,18325791415.0,35000,3295.8,male,42.86,15,1994
7932,35-54 years,Luxembourg,18325791415.0,58400,3295.8,male,37.67,22,1994
7933,15-24 years,Luxembourg,18325791415.0,24700,3295.8,male,28.34,7,1994
7934,25-34 years,Luxembourg,18325791415.0,35000,3295.8,male,25.71,9,1994
7935,55-74 years,Luxembourg,18325791415.0,41300,3295.8,female,12.11,5,1994
7936,35-54 years,Luxembourg,18325791415.0,55400,3295.8,female,7.22,4,1994
7937,75+ years,Luxembourg,18325791415.0,15300,3295.8,female,6.54,1,1994
7938,25-34 years,Luxembourg,18325791415.0,33900,3295.8,female,5.9,2,1994
7939,15-24 years,Luxembourg,18325791415.0,23700,3295.8,female,4.22,1,1994
7940,5-14 years,Luxembourg,18325791415.0,22900,3295.8,female,0.0,0,1994
7941,5-14 years,Luxembourg,18325791415.0,23900,3295.8,male,0.0,0,1994
7942,75+ years,Luxembourg,21588170498.0,7400,3681.6,male,54.05,4,1995
7943,55-74 years,Luxembourg,21588170498.0,35500,3681.6,male,30.99,11,1995
7944,35-54 years,Luxembourg,21588170498.0,59600,3681.6,male,28.52,17,1995
7945,25-34 years,Luxembourg,21588170498.0,35300,3681.6,male,22.66,8,1995
7946,15-24 years,Luxembourg,21588170498.0,24500,3681.6,male,20.41,5,1995
7947,75+ years,Luxembourg,21588170498.0,15700,3681.6,female,19.11,3,1995
7948,35-54 years,Luxembourg,21588170498.0,56600,3681.6,female,14.13,8,1995
7949,25-34 years,Luxembourg,21588170498.0,34100,3681.6,female,8.8,3,1995
7950,55-74 years,Luxembourg,21588170498.0,41700,3681.6,female,7.19,3,1995
7951,15-24 years,Luxembourg,21588170498.0,23700,3681.6,female,4.22,1,1995
7952,5-14 years,Luxembourg,21588170498.0,23400,3681.6,female,0.0,0,1995
7953,5-14 years,Luxembourg,21588170498.0,24600,3681.6,male,0.0,0,1995
7954,75+ years,Luxembourg,21776609772.0,7600,3678.4,male,65.79,5,1996
7955,55-74 years,Luxembourg,21776609772.0,36000,3678.4,male,50.0,18,1996
7956,35-54 years,Luxembourg,21776609772.0,61000,3678.4,male,36.07,22,1996
7957,35-54 years,Luxembourg,21776609772.0,58100,3678.4,female,17.21,10,1996
7958,25-34 years,Luxembourg,21776609772.0,35400,3678.4,male,14.12,5,1996
7959,75+ years,Luxembourg,21776609772.0,16200,3678.4,female,12.35,2,1996
7960,15-24 years,Luxembourg,21776609772.0,24400,3678.4,male,12.3,3,1996
7961,15-24 years,Luxembourg,21776609772.0,23800,3678.4,female,8.4,2,1996
7962,55-74 years,Luxembourg,21776609772.0,41800,3678.4,female,7.18,3,1996
7963,25-34 years,Luxembourg,21776609772.0,34300,3678.4,female,5.83,2,1996
7964,5-14 years,Luxembourg,21776609772.0,23900,3678.4,female,0.0,0,1996
7965,5-14 years,Luxembourg,21776609772.0,25200,3678.4,male,0.0,0,1996
7966,75+ years,Luxembourg,19731912494.0,7600,3379.0,male,131.58,10,1997
7967,35-54 years,Luxembourg,19731912494.0,62500,3379.0,male,36.8,23,1997
7968,55-74 years,Luxembourg,19731912494.0,36500,3379.0,male,35.62,13,1997
7969,15-24 years,Luxembourg,19731912494.0,24400,3379.0,male,28.69,7,1997
7970,25-34 years,Luxembourg,19731912494.0,35500,3379.0,male,19.72,7,1997
7971,55-74 years,Luxembourg,19731912494.0,42000,3379.0,female,19.05,8,1997
7972,25-34 years,Luxembourg,19731912494.0,34400,3379.0,female,17.44,6,1997
7973,35-54 years,Luxembourg,19731912494.0,59500,3379.0,female,8.4,5,1997
7974,75+ years,Luxembourg,19731912494.0,16500,3379.0,female,6.06,1,1997
7975,15-24 years,Luxembourg,19731912494.0,23600,3379.0,female,4.24,1,1997
7976,5-14 years,Luxembourg,19731912494.0,24500,3379.0,female,0.0,0,1997
7977,5-14 years,Luxembourg,19731912494.0,25600,3379.0,male,0.0,0,1997
7978,75+ years,Luxembourg,20209122027.0,7766,3406.4,male,51.51,4,1998
7979,35-54 years,Luxembourg,20209122027.0,63893,3406.4,male,34.43,22,1998
7980,55-74 years,Luxembourg,20209122027.0,37286,3406.4,male,29.5,11,1998
7981,25-34 years,Luxembourg,20209122027.0,35156,3406.4,male,19.91,7,1998
7982,75+ years,Luxembourg,20209122027.0,16885,3406.4,female,17.77,3,1998
7983,15-24 years,Luxembourg,20209122027.0,24415,3406.4,male,16.38,4,1998
7984,55-74 years,Luxembourg,20209122027.0,42149,3406.4,female,9.49,4,1998
7985,35-54 years,Luxembourg,20209122027.0,61065,3406.4,female,8.19,5,1998
7986,25-34 years,Luxembourg,20209122027.0,34112,3406.4,female,5.86,2,1998
7987,15-24 years,Luxembourg,20209122027.0,23701,3406.4,female,4.22,1,1998
7988,5-14 years,Luxembourg,20209122027.0,25057,3406.4,female,3.99,1,1998
7989,5-14 years,Luxembourg,20209122027.0,26430,3406.4,male,0.0,0,1998
7990,75+ years,Luxembourg,22235929043.0,7879,3380.5,male,50.77,4,1999
7991,35-54 years,Luxembourg,22235929043.0,65502,3380.5,male,30.53,20,1999
7992,55-74 years,Luxembourg,22235929043.0,37992,3380.5,male,28.95,11,1999
7993,25-34 years,Luxembourg,22235929043.0,34774,3380.5,male,25.88,9,1999
7994,15-24 years,Luxembourg,22235929043.0,24781,3380.5,male,20.18,5,1999
7995,75+ years,Luxembourg,22235929043.0,17336,3380.5,female,17.31,3,1999
7996,35-54 years,Luxembourg,22235929043.0,62509,3380.5,female,14.4,9,1999
7997,55-74 years,Luxembourg,22235929043.0,42307,3380.5,female,14.18,6,1999
7998,25-34 years,Luxembourg,22235929043.0,33805,3380.5,female,5.92,2,1999
7999,5-14 years,Luxembourg,22235929043.0,25830,3380.5,female,3.87,1,1999
8000,15-24 years,Luxembourg,22235929043.0,23941,3380.5,female,0.0,0,1999
8001,5-14 years,Luxembourg,22235929043.0,27234,3380.5,male,0.0,0,1999
8002,75+ years,Luxembourg,21263514833.0,8005,3118.3,male,87.45,7,2000
8003,55-74 years,Luxembourg,21263514833.0,38593,3118.3,male,38.87,15,2000
8004,35-54 years,Luxembourg,21263514833.0,67181,3118.3,male,22.33,15,2000
8005,25-34 years,Luxembourg,21263514833.0,34441,3118.3,male,20.32,7,2000
8006,55-74 years,Luxembourg,21263514833.0,42411,3118.3,female,18.86,8,2000
8007,15-24 years,Luxembourg,21263514833.0,25108,3118.3,male,11.95,3,2000
8008,75+ years,Luxembourg,21263514833.0,18093,3118.3,female,11.05,2,2000
8009,35-54 years,Luxembourg,21263514833.0,64046,3118.3,female,4.68,3,2000
8010,15-24 years,Luxembourg,21263514833.0,24072,3118.3,female,4.15,1,2000
8011,25-34 years,Luxembourg,21263514833.0,33595,3118.3,female,2.98,1,2000
8012,5-14 years,Luxembourg,21263514833.0,26627,3118.3,female,0.0,0,2000
8013,5-14 years,Luxembourg,21263514833.0,27992,3118.3,male,0.0,0,2000
8014,75+ years,Luxembourg,21272418792.0,8307,3114.4,male,60.19,5,2001
8015,55-74 years,Luxembourg,21272418792.0,38220,3114.4,male,39.25,15,2001
8016,75+ years,Luxembourg,21272418792.0,17274,3114.4,female,28.95,5,2001
8017,35-54 years,Luxembourg,21272418792.0,68558,3114.4,male,27.71,19,2001
8018,55-74 years,Luxembourg,21272418792.0,41330,3114.4,female,24.2,10,2001
8019,25-34 years,Luxembourg,21272418792.0,34180,3114.4,male,23.41,8,2001
8020,25-34 years,Luxembourg,21272418792.0,34217,3114.4,female,20.46,7,2001
8021,15-24 years,Luxembourg,21272418792.0,25762,3114.4,male,11.65,3,2001
8022,15-24 years,Luxembourg,21272418792.0,24980,3114.4,female,4.0,1,2001
8023,35-54 years,Luxembourg,21272418792.0,65725,3114.4,female,0.0,0,2001
8024,5-14 years,Luxembourg,21272418792.0,27034,3114.4,female,0.0,0,2001
8025,5-14 years,Luxembourg,21272418792.0,28343,3114.4,male,0.0,0,2001
8026,55-74 years,Luxembourg,23616328816.0,38724,3403.8,male,69.72,27,2002
8027,75+ years,Luxembourg,23616328816.0,8635,3403.8,male,69.48,6,2002
8028,25-34 years,Luxembourg,23616328816.0,33839,3403.8,male,23.64,8,2002
8029,15-24 years,Luxembourg,23616328816.0,25897,3403.8,male,23.17,6,2002
8030,35-54 years,Luxembourg,23616328816.0,69685,3403.8,male,22.96,16,2002
8031,55-74 years,Luxembourg,23616328816.0,41566,3403.8,female,19.25,8,2002
8032,75+ years,Luxembourg,23616328816.0,17636,3403.8,female,17.01,3,2002
8033,35-54 years,Luxembourg,23616328816.0,67029,3403.8,female,14.92,10,2002
8034,15-24 years,Luxembourg,23616328816.0,25089,3403.8,female,3.99,1,2002
8035,25-34 years,Luxembourg,23616328816.0,33876,3403.8,female,0.0,0,2002
8036,5-14 years,Luxembourg,23616328816.0,27411,3403.8,female,0.0,0,2002
8037,5-14 years,Luxembourg,23616328816.0,28719,3403.8,male,0.0,0,2002
8038,75+ years,Luxembourg,29557325056.0,9133,4144.2,male,65.7,6,2003
8039,15-24 years,Luxembourg,29557325056.0,26415,4144.2,male,22.71,6,2003
8040,55-74 years,Luxembourg,29557325056.0,39335,4144.2,male,20.34,8,2003
8041,35-54 years,Luxembourg,29557325056.0,70996,4144.2,male,19.72,14,2003
8042,25-34 years,Luxembourg,29557325056.0,33450,4144.2,male,14.95,5,2003
8043,35-54 years,Luxembourg,29557325056.0,68468,4144.2,female,5.84,4,2003
8044,55-74 years,Luxembourg,29557325056.0,41982,4144.2,female,4.76,2,2003
8045,15-24 years,Luxembourg,29557325056.0,25512,4144.2,female,3.92,1,2003
8046,5-14 years,Luxembourg,29557325056.0,29105,4144.2,male,3.44,1,2003
8047,25-34 years,Luxembourg,29557325056.0,33475,4144.2,female,2.99,1,2003
8048,5-14 years,Luxembourg,29557325056.0,27721,4144.2,female,0.0,0,2003
8049,75+ years,Luxembourg,29557325056.0,18062,4144.2,female,0.0,0,2003
8050,75+ years,Luxembourg,34685281848.0,9641,4725.1,male,62.23,6,2004
8051,25-34 years,Luxembourg,34685281848.0,33259,4725.1,male,27.06,9,2004
8052,35-54 years,Luxembourg,34685281848.0,72279,4725.1,male,26.29,19,2004
8053,55-74 years,Luxembourg,34685281848.0,40050,4725.1,male,17.48,7,2004
8054,75+ years,Luxembourg,34685281848.0,18524,4725.1,female,16.2,3,2004
8055,15-24 years,Luxembourg,34685281848.0,27235,4725.1,male,14.69,4,2004
8056,55-74 years,Luxembourg,34685281848.0,42429,4725.1,female,14.14,6,2004
8057,35-54 years,Luxembourg,34685281848.0,69884,4725.1,female,11.45,8,2004
8058,15-24 years,Luxembourg,34685281848.0,26128,4725.1,female,0.0,0,2004
8059,25-34 years,Luxembourg,34685281848.0,33179,4725.1,female,0.0,0,2004
8060,5-14 years,Luxembourg,34685281848.0,28020,4725.1,female,0.0,0,2004
8061,5-14 years,Luxembourg,34685281848.0,29500,4725.1,male,0.0,0,2004
8062,75+ years,Luxembourg,37347394603.0,10242,4885.6,male,68.35,7,2005
8063,35-54 years,Luxembourg,37347394603.0,73579,4885.6,male,21.75,16,2005
8064,15-24 years,Luxembourg,37347394603.0,27957,4885.6,male,21.46,6,2005
8065,55-74 years,Luxembourg,37347394603.0,40759,4885.6,male,17.17,7,2005
8066,25-34 years,Luxembourg,37347394603.0,33273,4885.6,male,9.02,3,2005
8067,35-54 years,Luxembourg,37347394603.0,71364,4885.6,female,8.41,6,2005
8068,75+ years,Luxembourg,37347394603.0,19135,4885.6,female,5.23,1,2005
8069,55-74 years,Luxembourg,37347394603.0,42875,4885.6,female,4.66,2,2005
8070,25-34 years,Luxembourg,37347394603.0,33120,4885.6,female,3.02,1,2005
8071,15-24 years,Luxembourg,37347394603.0,26691,4885.6,female,0.0,0,2005
8072,5-14 years,Luxembourg,37347394603.0,28450,4885.6,female,0.0,0,2005
8073,5-14 years,Luxembourg,37347394603.0,29893,4885.6,male,0.0,0,2005
8074,75+ years,Luxembourg,42414308117.0,10878,5123.0,male,73.54,8,2006
8075,35-54 years,Luxembourg,42414308117.0,75006,5123.0,male,29.33,22,2006
8076,55-74 years,Luxembourg,42414308117.0,41414,5123.0,male,24.15,10,2006
8077,35-54 years,Luxembourg,42414308117.0,72885,5123.0,female,16.46,12,2006
8078,15-24 years,Luxembourg,42414308117.0,28509,5123.0,male,14.03,4,2006
8079,55-74 years,Luxembourg,42414308117.0,43289,5123.0,female,9.24,4,2006
8080,25-34 years,Luxembourg,42414308117.0,33484,5123.0,male,8.96,3,2006
8081,75+ years,Luxembourg,42414308117.0,19651,5123.0,female,5.09,1,2006
8082,25-34 years,Luxembourg,42414308117.0,33421,5123.0,female,2.99,1,2006
8083,15-24 years,Luxembourg,42414308117.0,27217,5123.0,female,0.0,0,2006
8084,5-14 years,Luxembourg,42414308117.0,28857,5123.0,female,0.0,0,2006
8085,5-14 years,Luxembourg,42414308117.0,30210,5123.0,male,0.0,0,2006
8086,55-74 years,Luxembourg,50888134410.0,42200,5866.4,male,33.18,14,2007
8087,35-54 years,Luxembourg,50888134410.0,76346,5866.4,male,32.75,25,2007
8088,25-34 years,Luxembourg,50888134410.0,33901,5866.4,male,26.55,9,2007
8089,75+ years,Luxembourg,50888134410.0,11340,5866.4,male,26.46,3,2007
8090,55-74 years,Luxembourg,50888134410.0,43834,5866.4,female,22.81,10,2007
8091,35-54 years,Luxembourg,50888134410.0,74214,5866.4,female,12.13,9,2007
8092,75+ years,Luxembourg,50888134410.0,20040,5866.4,female,9.98,2,2007
8093,15-24 years,Luxembourg,50888134410.0,27674,5866.4,female,7.23,2,2007
8094,15-24 years,Luxembourg,50888134410.0,28964,5866.4,male,6.91,2,2007
8095,25-34 years,Luxembourg,50888134410.0,33942,5866.4,female,5.89,2,2007
8096,5-14 years,Luxembourg,50888134410.0,29088,5866.4,female,0.0,0,2007
8097,5-14 years,Luxembourg,50888134410.0,30469,5866.4,male,0.0,0,2007
8098,75+ years,Luxembourg,55849686539.0,11706,6466.2,male,42.71,5,2008
8099,35-54 years,Luxembourg,55849686539.0,77730,6466.2,male,25.73,20,2008
8100,55-74 years,Luxembourg,55849686539.0,43218,6466.2,male,13.88,6,2008
8101,25-34 years,Luxembourg,55849686539.0,34724,6466.2,male,11.52,4,2008
8102,55-74 years,Luxembourg,55849686539.0,44697,6466.2,female,6.71,3,2008
8103,75+ years,Luxembourg,55849686539.0,20350,6466.2,female,4.91,1,2008
8104,35-54 years,Luxembourg,55849686539.0,75463,6466.2,female,3.98,3,2008
8105,25-34 years,Luxembourg,55849686539.0,34796,6466.2,female,2.87,1,2008
8106,15-24 years,Luxembourg,55849686539.0,28190,6466.2,female,0.0,0,2008
8107,5-14 years,Luxembourg,55849686539.0,29210,6466.2,female,0.0,0,2008
8108,15-24 years,Luxembourg,55849686539.0,29576,6466.2,male,0.0,0,2008
8109,5-14 years,Luxembourg,55849686539.0,30711,6466.2,male,0.0,0,2008
8254,35-54 years,Malta,2547163582.0,47400,1522.6,male,8.44,4,1990
8255,15-24 years,Malta,2547163582.0,25600,1522.6,male,7.81,2,1990
8256,55-74 years,Malta,2547163582.0,25000,1522.6,male,4.0,1,1990
8257,25-34 years,Malta,2547163582.0,28600,1522.6,male,3.5,1,1990
8258,15-24 years,Malta,2547163582.0,24100,1522.6,female,0.0,0,1990
8259,25-34 years,Malta,2547163582.0,27300,1522.6,female,0.0,0,1990
8260,35-54 years,Malta,2547163582.0,48900,1522.6,female,0.0,0,1990
8261,5-14 years,Malta,2547163582.0,27400,1522.6,female,0.0,0,1990
8262,55-74 years,Malta,2547163582.0,30200,1522.6,female,0.0,0,1990
8263,75+ years,Malta,2547163582.0,8400,1522.6,female,0.0,0,1990
8264,5-14 years,Malta,2547163582.0,28900,1522.6,male,0.0,0,1990
8265,75+ years,Malta,2547163582.0,5600,1522.6,male,0.0,0,1990
8266,15-24 years,Malta,2750041434.0,26100,1522.6,male,11.49,3,1991
8267,25-34 years,Malta,2750041434.0,28100,1522.6,male,10.68,3,1991
8268,35-54 years,Malta,2750041434.0,48700,1522.6,male,6.16,3,1991
8269,35-54 years,Malta,2750041434.0,49800,1522.6,female,2.01,1,1991
8270,15-24 years,Malta,2750041434.0,24600,1522.6,female,0.0,0,1991
8271,25-34 years,Malta,2750041434.0,26900,1522.6,female,0.0,0,1991
8272,5-14 years,Malta,2750041434.0,27300,1522.6,female,0.0,0,1991
8273,55-74 years,Malta,2750041434.0,30900,1522.6,female,0.0,0,1991
8274,75+ years,Malta,2750041434.0,8500,1522.6,female,0.0,0,1991
8275,5-14 years,Malta,2750041434.0,28800,1522.6,male,0.0,0,1991
8276,55-74 years,Malta,2750041434.0,25500,1522.6,male,0.0,0,1991
8277,75+ years,Malta,2750041434.0,5600,1522.6,male,0.0,0,1991
8278,75+ years,Malta,3021910217.0,5500,1522.6,male,36.36,2,1992
8279,25-34 years,Malta,3021910217.0,27700,1522.6,male,14.44,4,1992
8280,55-74 years,Malta,3021910217.0,26200,1522.6,male,11.45,3,1992
8281,55-74 years,Malta,3021910217.0,31600,1522.6,female,9.49,3,1992
8282,15-24 years,Malta,3021910217.0,26700,1522.6,male,7.49,2,1992
8283,35-54 years,Malta,3021910217.0,50800,1522.6,female,5.91,3,1992
8284,35-54 years,Malta,3021910217.0,50100,1522.6,male,2.0,1,1992
8285,15-24 years,Malta,3021910217.0,25100,1522.6,female,0.0,0,1992
8286,25-34 years,Malta,3021910217.0,26500,1522.6,female,0.0,0,1992
8287,5-14 years,Malta,3021910217.0,27100,1522.6,female,0.0,0,1992
8288,75+ years,Malta,3021910217.0,8400,1522.6,female,0.0,0,1992
8289,5-14 years,Malta,3021910217.0,28600,1522.6,male,0.0,0,1992
8290,25-34 years,Malta,2709178327.0,27200,1522.6,male,14.71,4,1993
8291,35-54 years,Malta,2709178327.0,51700,1522.6,female,7.74,4,1993
8292,55-74 years,Malta,2709178327.0,26700,1522.6,male,7.49,2,1993
8293,55-74 years,Malta,2709178327.0,32300,1522.6,female,6.19,2,1993
8294,35-54 years,Malta,2709178327.0,51300,1522.6,male,3.9,2,1993
8295,25-34 years,Malta,2709178327.0,26000,1522.6,female,3.85,1,1993
8296,15-24 years,Malta,2709178327.0,27300,1522.6,male,3.66,1,1993
8297,15-24 years,Malta,2709178327.0,25500,1522.6,female,0.0,0,1993
8298,5-14 years,Malta,2709178327.0,27100,1522.6,female,0.0,0,1993
8299,75+ years,Malta,2709178327.0,8500,1522.6,female,0.0,0,1993
8300,5-14 years,Malta,2709178327.0,28500,1522.6,male,0.0,0,1993
8301,75+ years,Malta,2709178327.0,5600,1522.6,male,0.0,0,1993
8302,75+ years,Malta,2998570147.0,5600,1522.6,male,17.86,1,1994
8303,75+ years,Malta,2998570147.0,8600,1522.6,female,11.63,1,1994
8304,25-34 years,Malta,2998570147.0,26900,1522.6,male,11.15,3,1994
8305,15-24 years,Malta,2998570147.0,27900,1522.6,male,10.75,3,1994
8306,35-54 years,Malta,2998570147.0,52500,1522.6,male,9.52,5,1994
8307,35-54 years,Malta,2998570147.0,52900,1522.6,female,3.78,2,1994
8308,15-24 years,Malta,2998570147.0,26100,1522.6,female,0.0,0,1994
8309,25-34 years,Malta,2998570147.0,25500,1522.6,female,0.0,0,1994
8310,5-14 years,Malta,2998570147.0,27000,1522.6,female,0.0,0,1994
8311,55-74 years,Malta,2998570147.0,33100,1522.6,female,0.0,0,1994
8312,5-14 years,Malta,2998570147.0,28300,1522.6,male,0.0,0,1994
8313,55-74 years,Malta,2998570147.0,27300,1522.6,male,0.0,0,1994
8314,15-24 years,Malta,3439931907.0,28300,1522.6,male,14.13,4,1995
8315,35-54 years,Malta,3439931907.0,53800,1522.6,male,7.43,4,1995
8316,35-54 years,Malta,3439931907.0,53900,1522.6,female,7.42,4,1995
8317,55-74 years,Malta,3439931907.0,27600,1522.6,male,7.25,2,1995
8318,25-34 years,Malta,3439931907.0,24900,1522.6,female,4.02,1,1995
8319,25-34 years,Malta,3439931907.0,26500,1522.6,male,3.77,1,1995
8320,55-74 years,Malta,3439931907.0,33300,1522.6,female,3.0,1,1995
8321,15-24 years,Malta,3439931907.0,26600,1522.6,female,0.0,0,1995
8322,5-14 years,Malta,3439931907.0,26900,1522.6,female,0.0,0,1995
8323,75+ years,Malta,3439931907.0,9000,1522.6,female,0.0,0,1995
8324,5-14 years,Malta,3439931907.0,28200,1522.6,male,0.0,0,1995
8325,75+ years,Malta,3439931907.0,5900,1522.6,male,0.0,0,1995
8326,75+ years,Malta,3570271558.0,6400,1522.6,male,15.63,1,1996
8327,25-34 years,Malta,3570271558.0,25500,1522.6,male,11.76,3,1996
8328,15-24 years,Malta,3570271558.0,28700,1522.6,male,10.45,3,1996
8329,25-34 years,Malta,3570271558.0,24000,1522.6,female,4.17,1,1996
8330,55-74 years,Malta,3570271558.0,27700,1522.6,male,3.61,1,1996
8331,35-54 years,Malta,3570271558.0,55200,1522.6,male,1.81,1,1996
8332,15-24 years,Malta,3570271558.0,26900,1522.6,female,0.0,0,1996
8333,35-54 years,Malta,3570271558.0,55000,1522.6,female,0.0,0,1996
8334,5-14 years,Malta,3570271558.0,27100,1522.6,female,0.0,0,1996
8335,55-74 years,Malta,3570271558.0,33400,1522.6,female,0.0,0,1996
8336,75+ years,Malta,3570271558.0,9700,1522.6,female,0.0,0,1996
8337,5-14 years,Malta,3570271558.0,28600,1522.6,male,0.0,0,1996
8338,75+ years,Malta,3705372039.0,6700,1417.8,male,29.85,2,1997
8339,15-24 years,Malta,3705372039.0,29000,1417.8,male,10.34,3,1997
8340,25-34 years,Malta,3705372039.0,23300,1417.8,female,8.58,2,1997
8341,25-34 years,Malta,3705372039.0,24500,1417.8,male,8.16,2,1997
8342,35-54 years,Malta,3705372039.0,56400,1417.8,male,7.09,4,1997
8343,15-24 years,Malta,3705372039.0,27300,1417.8,female,3.66,1,1997
8344,55-74 years,Malta,3705372039.0,33300,1417.8,female,3.0,1,1997
8345,35-54 years,Malta,3705372039.0,56100,1417.8,female,0.0,0,1997
8346,5-14 years,Malta,3705372039.0,27100,1417.8,female,0.0,0,1997
8347,75+ years,Malta,3705372039.0,10300,1417.8,female,0.0,0,1997
8348,5-14 years,Malta,3705372039.0,28800,1417.8,male,0.0,0,1997
8349,55-74 years,Malta,3705372039.0,27600,1417.8,male,0.0,0,1997
8350,55-74 years,Malta,3923637971.0,27900,1469.4,male,14.34,4,1998
8351,35-54 years,Malta,3923637971.0,57500,1469.4,male,10.43,6,1998
8352,25-34 years,Malta,3923637971.0,24400,1469.4,male,4.1,1,1998
8353,35-54 years,Malta,3923637971.0,56900,1469.4,female,1.76,1,1998
8354,15-24 years,Malta,3923637971.0,27600,1469.4,female,0.0,0,1998
8355,25-34 years,Malta,3923637971.0,23200,1469.4,female,0.0,0,1998
8356,5-14 years,Malta,3923637971.0,26900,1469.4,female,0.0,0,1998
8357,55-74 years,Malta,3923637971.0,33400,1469.4,female,0.0,0,1998
8358,75+ years,Malta,3923637971.0,10700,1469.4,female,0.0,0,1998
